%  ./pipe-5-00128   ./pipe-5-00128/extracted_timings-e750425.csv 
%
% Summary Statistics:
% operation,  mean,  min,  max, std
% -------------------------------------------------------------------
% CTH_TIMINGS       ,  74.99463616 ,  70.822894 ,  81.061006 ,  3.05272219969594 
% PVSPY_VIZ_TIMINGS ,  3.81796392 ,  3.262661 ,  20.061564 ,  2.34932637296328 
% -------------------------------------------------------------------
"cycle","cth","viz"
10,70.898309,3.734502
20,70.822894,3.70015
30,70.927385,3.879181
40,70.904657,3.738432
50,70.953382,4.190371
60,71.592341,3.734959
70,72.987694,3.657378
80,71.797206,3.492421
90,71.766012,3.491049
100,71.134422,3.49163
110,71.189144,3.60172
120,71.270601,3.4889
130,71.294438,3.499538
140,71.448433,3.494684
150,71.706789,3.466478
160,72.493076,3.490549
170,72.162606,3.491013
180,72.606384,3.471
190,72.865435,3.457018
200,73.773187,3.423548
210,74.535576,3.437197
220,74.6765,3.444136
230,74.48339,3.416063
240,74.974436,3.433974
250,75.401795,3.421239
260,76.249514,3.389307
270,76.98049,3.392321
280,76.149243,3.433716
290,76.393447,3.396163
300,78.321436,3.395008
310,76.909826,3.389219
320,77.407372,3.361609
330,77.519417,3.384897
340,77.804847,3.578714
350,76.867911,3.409743
360,77.544001,3.527854
370,76.947556,3.47581
380,76.377573,3.394001
390,76.054884,3.469306
400,76.595972,3.412052
410,76.557963,3.388201
420,76.750642,3.387287
430,76.299579,3.345626
440,77.740053,3.467
450,78.635474,3.332072
460,78.871256,20.061564
470,79.599931,3.371929
480,80.698653,3.349033
490,80.72767,3.375973
500,81.061006,3.262661
