%
% Pipe-6
% Results from Cielo runs, 500 cycles
% 
ranks,  time,          init,          viz
1024 ,  1.04e13,      6.747e11,      1.077e12
2048 ,  6.38e12,      4.61e11,       1.06e12
4096 ,  4.38e12,      4.23e11,       1.137e12
8192 ,  3.776e12,     5.42e11,       1.233e12
