%  ./pipe-7-32768   ./pipe-7-32768/extracted_timings-e01.csv 
%
% Summary Statistics:
% operation,  mean,  min,  max, std
% -------------------------------------------------------------------
% CTH_TIMINGS       ,  23.05302756 ,  21.492366 ,  28.869972 ,  1.80253749889594 
% PVSPY_VIZ_TIMINGS ,  85.7794439 ,  74.587305 ,  91.00454 ,  3.01747602116668 
% -------------------------------------------------------------------
"cycle","cth","viz"
10,21.856515,90.428718
20,21.960174,88.942557
30,22.704784,88.000472
40,22.133444,89.752778
50,21.692264,87.914834
60,22.012089,84.081077
70,21.492366,80.740876
80,21.581882,87.054461
90,22.292146,86.315335
100,22.188645,86.571976
110,22.065571,87.361617
120,22.395651,86.760612
130,22.553432,87.57973
140,22.308593,88.014687
150,22.338874,86.828901
160,21.927294,86.121
170,24.20018,86.439541
180,22.990602,84.859297
190,22.143646,85.80784
200,22.177869,85.63404
210,22.281677,85.133366
220,23.39003,86.621177
230,23.050502,86.637839
240,22.234753,88.22741
250,22.085983,85.592186
260,21.92223,84.665486
270,21.987822,87.727114
280,21.996902,87.243542
290,22.474213,83.969803
300,22.197694,84.882358
310,21.65747,85.599006
320,21.961419,85.406181
330,21.600413,85.738598
340,21.590421,85.144364
350,21.662907,85.428089
360,21.928682,85.151883
370,21.853809,85.352591
380,23.234569,82.743482
390,22.57514,82.72833
400,23.08609,75.665839
410,26.76235,74.587305
420,26.701981,91.00454
430,24.545733,89.957587
440,24.740267,86.017726
450,28.869972,80.848136
460,26.930906,85.901268
470,25.443446,87.928661
480,25.052057,86.260963
490,27.226985,84.435753
500,26.588934,87.161263
