 12643244, 12654052, 12651344, 12649992, 12656048, 12646384, 12652828, 12656588, 12646160, 12652248, 12647860, 12653964, 12660448, 12647364,
 13976196, 13979896, 13985852, 13978932, 13985248, 13981072, 13987276, 13977816, 13967268, 13986824, 13984492, 13982604, 13980040, 13969584,
 13977772, 13980868, 13987544, 13981872, 13988016, 13982692, 13987836, 13978708, 13968412, 13987028, 13985232, 13982856, 13980928, 13972536,
 13978648, 13981796, 13988408, 13982060, 13990744, 13983144, 13990456, 13979668, 13968968, 13987664, 13986660, 13985424, 13983828, 13975116,
 13979208, 13982072, 13988260, 13982036, 13990472, 13983548, 13990116, 13979544, 13968984, 13991892, 13986344, 13985560, 13988208, 13975172,
 13969020, 13979372, 13986900, 13979176, 13987084, 13979624, 13988620, 13973252, 13968752, 13975904, 13984384, 13983296, 13979528, 13978048,
 13969688, 13980480, 13987544, 13980068, 13988184, 13980272, 13991108, 13974768, 13969164, 13979532, 13987448, 13983480, 13982588, 13980560,
 13970304, 13981908, 13988924, 13980336, 13987968, 13980664, 13991784, 13975264, 13970088, 13979640, 13987464, 13983688, 13983192, 13981536,
 13972628, 13981392, 13989284, 13980784, 13988852, 13981348, 13992016, 13975684, 13970768, 13979876, 13988064, 13984448, 13983592, 13982104,
 13973040, 13981444, 13989092, 13981036, 13991276, 13981684, 13991212, 13976196, 13971352, 13980644, 13988412, 13984908, 13983960, 13982356,
 13973504, 13981908, 13989764, 13981016, 13990968, 13982056, 13991428, 13978464, 13971656, 13980636, 13988712, 13984384, 13984088, 13982364,
 13973628, 13982096, 13989944, 13981680, 13991600, 13982820, 13991852, 13978892, 13972196, 13983028, 13989344, 13984308, 13984540, 13982612,
 13973484, 13981856, 13989944, 13980956, 13991568, 13982472, 13991852, 13978328, 13972076, 13982828, 13989644, 13984156, 13984548, 13982572,
 13974020, 13981804, 13989728, 13981308, 13991860, 13982784, 13992916, 13978232, 13972268, 13983292, 13989628, 13984472, 13984460, 13982932,
 13973700, 13981932, 13990060, 13981316, 13991764, 13983816, 13992688, 13978528, 13972172, 13983456, 13989448, 13984276, 13984580, 13982704,
 13973756, 13982876, 13990092, 13981644, 13992040, 13983276, 13992960, 13981036, 13974800, 13983016, 13990196, 13985336, 13984912, 13983140,
 13974388, 13985156, 13990296, 13981628, 13991420, 13983416, 13993384, 13980296, 13975200, 13983400, 13990212, 13985304, 13987016, 13983512,
 13974244, 13985072, 13992844, 13981956, 13991408, 13983428, 13993036, 13980576, 13975316, 13985196, 13990744, 13985432, 13987236, 13983140,
 13974832, 13985196, 13993020, 13981704, 13991292, 13983364, 13993188, 13980736, 13975308, 13987124, 13990404, 13984856, 13987188, 13983388,
 13974768, 13985080, 13992764, 13984540, 13992076, 13983808, 13993464, 13980440, 13975484, 13987360, 13990284, 13985644, 13987364, 13983600,
 13974136, 13985476, 13993248, 13984332, 13994500, 13983644, 13993388, 13980544, 13975212, 13987464, 13990848, 13986160, 13987192, 13983664,
 13974960, 13985768, 13993672, 13984088, 13994452, 13983708, 13993536, 13980956, 13975764, 13987732, 13990556, 13986432, 13987192, 13983844,
 13974580, 13985192, 13993636, 13984396, 13996368, 13983556, 13993128, 13982428, 13975164, 13987172, 13990652, 13986008, 13986844, 13983392,
 13974796, 13985428, 13993868, 13984564, 13996368, 13983476, 13993192, 13982540, 13975200, 13986984, 13990640, 13986204, 13987540, 13983892,
 13974668, 13985380, 13993276, 13984772, 13996600, 13983756, 13993004, 13982436, 13975336, 13989432, 13991272, 13986356, 13987548, 13984448,
 13974852, 13984860, 13993096, 13984472, 13996656, 13983956, 13993876, 13983108, 13975472, 13989344, 13990796, 13985904, 13987840, 13984064,
 13974272, 13985368, 13993904, 13984644, 13996356, 13983492, 13994096, 13983084, 13974972, 13989320, 13991392, 13985992, 13987520, 13984340,
 13974720, 13985420, 13993512, 13984556, 13996384, 13983700, 13993868, 13983556, 13975076, 13989892, 13991736, 13986284, 13987728, 13984284,
 13974608, 13985372, 13994272, 13984796, 13996448, 13983588, 13994216, 13983692, 13975256, 13991932, 13991728, 13986116, 13987944, 13984304,
 13974760, 13985060, 13994596, 13984524, 13998736, 13983772, 13993880, 13985732, 13975336, 13992112, 13991640, 13986416, 13988260, 13984280,
 13975004, 13985224, 13993960, 13984808, 13999064, 13983560, 13993804, 13985572, 13975304, 13992040, 13991544, 13986080, 13988108, 13984188,
 13975528, 13985200, 13994012, 13985000, 13999304, 13983940, 13993768, 13985720, 13975568, 13992284, 13992000, 13986400, 13988232, 13983912,
 13975536, 13985424, 13994328, 13984896, 13998968, 13984308, 13993872, 13985568, 13975728, 13991988, 13992256, 13986088, 13988192, 13983952,
 13975752, 13985432, 13993732, 13984660, 13999252, 13984448, 13993904, 13985496, 13975660, 13991996, 13992632, 13985716, 13988140, 13983856,
 13975264, 13985192, 13993996, 13984812, 13999228, 13984280, 13993896, 13985448, 13975280, 13991980, 13994596, 13986464, 13988404, 13983736,
 13975360, 13987368, 13994020, 13985108, 13999488, 13984532, 13994016, 13985532, 13975796, 13991964, 13994384, 13986436, 13988404, 13984044,
 13976140, 13987484, 13993864, 13985324, 13999596, 13984540, 13994116, 13985336, 13975644, 13991832, 13994408, 13986712, 13988396, 13983856,
 13975984, 13987288, 13993352, 13984768, 14001128, 13984316, 13994004, 13985304, 13975384, 13991708, 13995992, 13986076, 13987872, 13983984,
 13975912, 13988176, 13993444, 13984472, 14001244, 13984564, 13993884, 13985192, 13975820, 13991616, 13996544, 13986400, 13988372, 13984060,
 13976124, 13988240, 13993688, 13984988, 14001464, 13984420, 13994344, 13985164, 13976060, 13991624, 13996180, 13986200, 13988328, 13984560,
 13976052, 13988000, 13993952, 13984520, 14002076, 13984120, 13994016, 13985320, 13976136, 13991584, 13995996, 13986460, 13988112, 13984212,
 13977896, 13988040, 13994064, 13984916, 14002028, 13984112, 13993888, 13985408, 13975992, 13991320, 13996048, 13986208, 13987980, 13984604,
 13977588, 13988760, 13994096, 13985232, 14002176, 13984984, 13994372, 13986148, 13976268, 13991444, 13995656, 13986548, 13988696, 13984500,
 13977880, 13988116, 13994092, 13985800, 14002484, 13985100, 13996396, 13985996, 13976008, 13991924, 13996524, 13987032, 13988820, 13985324,
 13978244, 13988128, 13994388, 13985588, 14002560, 13984960, 13996688, 13986068, 13976640, 13991676, 13996336, 13986576, 13988720, 13985468,
 13978148, 13988132, 13994040, 13985796, 14002460, 13984868, 13996708, 13985664, 13976644, 13991936, 13996296, 13986616, 13988976, 13985120,
 13978368, 13988124, 13994064, 13985604, 14002208, 13985004, 13997088, 13985684, 13976920, 13992344, 13998228, 13986700, 13988716, 13987376,
 13978120, 13988280, 13993784, 13985468, 14002868, 13984892, 13996900, 13985712, 13976872, 13992352, 13998796, 13986912, 13988448, 13987512,
 13978048, 13988476, 13994012, 13985720, 14003280, 13984540, 13996980, 13985536, 13976932, 13991888, 13999456, 13986440, 13988548, 13988268,
