%
% Pipe-5
% Results from Cielo runs, 500 cycles
% 
ranks,  time,          xfer,          wait
%128 ,   0.0,          0.0,           0.0
256 ,   2560.0,       390.5,         8.6
512 ,   1811.0,       610.0,         2.47
1024,   1300.0,       624.0,         0.5
