%
% Pipe-3
% Results from Cielo runs, 500 cycles
% 
ranks,  time,          xfer,          wait
1 ,     8226.0,       61.0,          0.053
2 ,     5051.0,       60.57,         0.05
4 ,     3410.0,       61.73,         0.05
8 ,     1830.0,       37.436,        0.059
16,     1019.0,       30.3,          0.06
32,     613.0,        34.1,          0.104
