%
% Pipe-6
% Results from Cielo runs, 500 cycles
% 
ranks,  time,          xfer,          wait
1024 ,  4020.0,       454.7,         1.23
2048 ,  2289.0,       328.0,         0.2
4096 ,  1653.0,       528.0,         0.07
8192 ,  1442.0,       547.0,         217.7
