%
% Pipe-4
% Results from Cielo runs, 500 cycles
% 
ranks,  time,          xfer,          wait
16 ,    4440.0,        126.0,         0.235
32 ,    2440.0,        141.8,         0.36
64 ,    1463.0,        153.0,         1.02
128,    934.0,         186.0,         0.08

