 14391852, 14375092, 14376764, 14382208, 14387368, 14386232, 14388764, 14381580, 14381108, 14379756, 14385992, 14373740, 14385264, 14381564, 14382928, 14382668, 14381728, 14370488, 14380272, 14384028, 14387532, 14381148, 14385936, 14386344, 14384936, 14378920, 14382424, 14381024, 14379800, 14374012, 14380444, 14376964, 14383456, 14381836, 14381672, 14380732, 14379996, 14379048, 14387860, 14364292, 14381344, 14380476, 14375048, 14387440, 14387492, 14379724, 14386428, 14396496, 14384816, 14382460, 14380224, 14383940, 14384576, 14384424, 14385124, 14380684, 14374076, 14396776, 14379404, 14377572, 14391264, 14367024, 14382648, 14376216,
 15704808, 15692232, 15695368, 15699800, 15704720, 15706952, 15707556, 15691268, 15704224, 15701492, 15702176, 15688280, 15706240, 15695980, 15692056, 15695520, 15701484, 15690000, 15697788, 15699768, 15703852, 15706032, 15698064, 15698156, 15695836, 15696016, 15706160, 15702124, 15696300, 15692080, 15700028, 15700836, 15700052, 15690148, 15706364, 15706920, 15705624, 15696872, 15698264, 15681540, 15702900, 15694828, 15698140, 15700144, 15703844, 15703184, 15700932, 15703600, 15705676, 15698252, 15699732, 15694736, 15698900, 15703068, 15703504, 15699148, 15706996, 15724712, 15692412, 15687120, 15703964, 15679396, 15708796, 15696312,
 15709768, 15694608, 15695744, 15700568, 15705808, 15707624, 15710356, 15694736, 15705068, 15702288, 15702588, 15690936, 15706420, 15700804, 15697328, 15695684, 15701632, 15692440, 15700168, 15704580, 15704004, 15708584, 15700588, 15700748, 15698476, 15698536, 15706876, 15707776, 15696244, 15692712, 15701416, 15702256, 15701380, 15690668, 15706932, 15707340, 15706336, 15697700, 15701352, 15684732, 15703964, 15695580, 15700788, 15700744, 15706428, 15707680, 15704364, 15707508, 15708416, 15700856, 15700636, 15695064, 15702020, 15703916, 15705636, 15702144, 15707564, 15726776, 15695024, 15691736, 15704948, 15682556, 15709344, 15697688,
 15710216, 15695080, 15697648, 15700836, 15706084, 15707892, 15710860, 15694860, 15705208, 15703144, 15704708, 15691320, 15708740, 15701520, 15699560, 15696484, 15702192, 15692764, 15702420, 15704748, 15706908, 15709064, 15701696, 15701360, 15698940, 15700896, 15709000, 15708272, 15696752, 15693092, 15702444, 15702700, 15701424, 15690848, 15707616, 15707132, 15706728, 15700748, 15701576, 15685200, 15710256, 15696168, 15703248, 15703268, 15706712, 15707800, 15706540, 15708056, 15708384, 15701124, 15701920, 15695596, 15702912, 15704456, 15706008, 15702204, 15708032, 15729644, 15697396, 15692168, 15707716, 15682800, 15709292, 15697816,
 15710916, 15695804, 15697836, 15701360, 15706328, 15708560, 15711268, 15694976, 15705608, 15705376, 15704832, 15693764, 15711320, 15701576, 15700488, 15696632, 15702360, 15693208, 15702804, 15704816, 15707376, 15711532, 15702108, 15701676, 15699760, 15701308, 15709224, 15707948, 15697088, 15693408, 15702464, 15702908, 15703584, 15691204, 15708036, 15707508, 15706980, 15701300, 15704028, 15684776, 15712624, 15696092, 15703272, 15708112, 15707052, 15708396, 15706884, 15709144, 15708836, 15701568, 15704136, 15697880, 15702648, 15706472, 15706156, 15702648, 15708468, 15730312, 15699504, 15693300, 15709744, 15683864, 15713552, 15698112,
 15711356, 15695560, 15698312, 15701204, 15706008, 15708496, 15711736, 15695100, 15705784, 15705552, 15704996, 15693792, 15711996, 15701768, 15700300, 15696872, 15702564, 15693892, 15704784, 15704472, 15707492, 15711692, 15701752, 15701644, 15699688, 15701216, 15709136, 15708768, 15697476, 15692956, 15702456, 15703232, 15703648, 15693856, 15710500, 15707216, 15707072, 15701236, 15704004, 15685176, 15715028, 15696084, 15703976, 15708124, 15707412, 15708356, 15709168, 15708492, 15708764, 15701884, 15704008, 15698156, 15703320, 15706652, 15706464, 15703080, 15708376, 15730116, 15699552, 15693708, 15709464, 15683788, 15713960, 15697916,
 15711984, 15696832, 15698516, 15701168, 15706172, 15708712, 15711828, 15694972, 15706396, 15705500, 15704964, 15693732, 15712108, 15701852, 15700144, 15696964, 15702936, 15693856, 15705520, 15704444, 15708088, 15711680, 15701864, 15702028, 15699772, 15701572, 15709476, 15709108, 15697752, 15693320, 15702432, 15702980, 15703800, 15694116, 15710768, 15707432, 15707184, 15701336, 15704072, 15685160, 15715236, 15698132, 15704568, 15708084, 15707856, 15708444, 15709380, 15708456, 15708616, 15702112, 15704116, 15698024, 15703056, 15706844, 15708848, 15703120, 15708336, 15730480, 15699636, 15693808, 15709652, 15685576, 15713936, 15697768,
 15712528, 15696620, 15698836, 15701676, 15706488, 15709112, 15712320, 15695764, 15706856, 15706000, 15705596, 15693888, 15712536, 15702244, 15700536, 15697144, 15703276, 15694796, 15706296, 15705324, 15708300, 15712260, 15702704, 15703008, 15700420, 15702692, 15709880, 15709376, 15697848, 15693572, 15703100, 15702728, 15703632, 15694564, 15710712, 15707784, 15707340, 15702196, 15704120, 15685816, 15716016, 15698892, 15705180, 15708444, 15708200, 15708652, 15709516, 15708484, 15709696, 15702692, 15706456, 15698616, 15704108, 15707112, 15709332, 15703536, 15708836, 15730888, 15702284, 15694244, 15710760, 15686204, 15714652, 15698268,
 15714216, 15699376, 15701692, 15704240, 15709064, 15711400, 15712044, 15698580, 15708844, 15708620, 15708168, 15698732, 15715232, 15704836, 15702916, 15700244, 15705960, 15694552, 15709164, 15707896, 15711104, 15714568, 15705076, 15705544, 15702868, 15705020, 15712828, 15712416, 15698156, 15696240, 15705816, 15705472, 15706948, 15696684, 15713288, 15710492, 15710240, 15704276, 15706592, 15685880, 15718672, 15701856, 15709940, 15711540, 15711040, 15711812, 15712292, 15711408, 15711640, 15705292, 15706328, 15701464, 15706868, 15708924, 15711684, 15705884, 15711792, 15733540, 15705416, 15697016, 15713376, 15686144, 15717356, 15701144,
 15714628, 15699540, 15701384, 15704808, 15710092, 15711424, 15714588, 15698572, 15709032, 15711804, 15707956, 15698880, 15715836, 15705176, 15702572, 15700108, 15706308, 15697236, 15708880, 15707956, 15713140, 15714696, 15705976, 15705736, 15703044, 15705460, 15713296, 15712096, 15701132, 15696420, 15705784, 15705660, 15706892, 15697472, 15713592, 15710652, 15709952, 15704428, 15706548, 15688604, 15718852, 15701356, 15710336, 15711696, 15710808, 15711800, 15712268, 15711836, 15711472, 15707028, 15709596, 15701496, 15707032, 15711128, 15711908, 15706160, 15711600, 15735396, 15705212, 15696716, 15713304, 15689052, 15717028, 15701660,
