 17967096, 18007168, 17949352, 17965716, 17986180, 17975452, 17988956, 17932444,
 18068592, 18110628, 18058184, 18082964, 18103848, 18087848, 18103476, 18033772,
 18112312, 18176156, 18108272, 18132952, 18141636, 18139560, 18146320, 18093612,
 18131808, 18184240, 18139576, 18148360, 18162900, 18156556, 18166612, 18103140,
 18139612, 18192924, 18149316, 18156648, 18174008, 18170364, 18181064, 18107864,
 18144668, 18192812, 18154292, 18166176, 18187116, 18183844, 18193268, 18107676,
 18145192, 18192772, 18161564, 18175804, 18185312, 18182768, 18194540, 18110032,
 18141476, 18195516, 18167660, 18178844, 18184196, 18181672, 18196368, 18119332,
 18147384, 18205716, 18182976, 18181752, 18191312, 18189832, 18199300, 18117380,
 18149660, 18212496, 18186640, 18190444, 18192696, 18194044, 18194448, 18126088,
 18155088, 18208948, 18187804, 18190300, 18197476, 18190764, 18199736, 18137068,
 18149196, 18207436, 18190368, 18194024, 18195032, 18187496, 18200384, 18141212,
 18152740, 18205860, 18191724, 18196748, 18195568, 18190364, 18199924, 18147888,
 18154684, 18213536, 18199804, 18195500, 18195760, 18193516, 18194992, 18145924,
 18157356, 18205860, 18194892, 18199144, 18192588, 18196932, 18204788, 18151428,
 18155392, 18208388, 18199420, 18197492, 18197012, 18199664, 18198788, 18143964,
 18154872, 18215520, 18197184, 18199444, 18193728, 18200604, 18193544, 18148940,
 18152100, 18214488, 18197500, 18201008, 18196872, 18198424, 18198608, 18148944,
 18154396, 18209620, 18197904, 18199252, 18206524, 18200280, 18204336, 18152816,
 18154180, 18212080, 18198852, 18200664, 18202236, 18196236, 18199448, 18151020,
 18155968, 18221888, 18201504, 18200604, 18204180, 18198268, 18199480, 18154992,
 18150204, 18225684, 18199248, 18200028, 18202928, 18194292, 18200116, 18155576,
 18157748, 18227760, 18209068, 18207012, 18203680, 18196856, 18198488, 18163468,
 18160740, 18229048, 18210396, 18205520, 18199284, 18194388, 18199572, 18166732,
 18170164, 18234148, 18212780, 18204376, 18201032, 18197496, 18208360, 18167028,
 18167368, 18232272, 18212208, 18204284, 18199296, 18197976, 18205060, 18162860,
 18174100, 18232976, 18215988, 18207164, 18202452, 18195156, 18204808, 18163940,
 18175064, 18235076, 18216200, 18208372, 18197044, 18198300, 18200484, 18164264,
 18171964, 18237836, 18218820, 18209132, 18199056, 18197084, 18205488, 18168876,
 18171932, 18236800, 18219244, 18208252, 18198004, 18197448, 18204640, 18169620,
 18177276, 18238344, 18223496, 18209468, 18204668, 18201144, 18209428, 18171760,
 18172684, 18245088, 18221404, 18209236, 18204708, 18207724, 18205520, 18169500,
 18181832, 18248896, 18220240, 18206876, 18205020, 18199144, 18203368, 18171724,
 18178000, 18249464, 18222452, 18209488, 18207132, 18204344, 18206152, 18174876,
 18188132, 18249772, 18224524, 18205852, 18210812, 18209080, 18209288, 18179464,
 18187260, 18255340, 18227316, 18215052, 18204288, 18203724, 18214248, 18177620,
 18193844, 18255836, 18232364, 18212532, 18205792, 18204228, 18212040, 18175160,
 18206744, 18263056, 18231228, 18214368, 18208844, 18202260, 18206952, 18181376,
 18206576, 18262932, 18232888, 18214832, 18208076, 18199728, 18211972, 18181160,
 18210772, 18264676, 18234072, 18216376, 18207748, 18205940, 18216928, 18177440,
 18204600, 18265536, 18238664, 18216496, 18209416, 18201224, 18208888, 18181480,
 18208288, 18263428, 18231948, 18217732, 18209152, 18206068, 18206884, 18183044,
 18216180, 18263528, 18236260, 18214552, 18209792, 18205176, 18213532, 18180180,
 18212104, 18265912, 18237772, 18218080, 18207280, 18203012, 18212680, 18185112,
 18219876, 18269404, 18236368, 18217524, 18211232, 18211720, 18218404, 18180488,
 18207464, 18263428, 18231992, 18215912, 18208404, 18207572, 18212740, 18176220,
 18204856, 18265476, 18232024, 18214400, 18211784, 18205100, 18213612, 18177712,
 18209720, 18265140, 18237916, 18213556, 18211832, 18203212, 18217868, 18179916,
 18200508, 18265784, 18234780, 18221908, 18210316, 18204416, 18212248, 18184200,
 18200448, 18266096, 18237568, 18220248, 18211520, 18208440, 18215564, 18192104,
 18202468, 18276508, 18232260, 18216916, 18214952, 18202396, 18214280, 18197208,
 18210592, 18268944, 18234020, 18218008, 18221236, 18207056, 18211288, 18191332,
 18204548, 18274040, 18242360, 18216680, 18214108, 18204332, 18215268, 18191884,
 18220504, 18274088, 18237356, 18217244, 18214524, 18205556, 18214020, 18193948,
 18225932, 18386848, 18257120, 18243088, 18239744, 18242120, 18246104, 18228288,
 18236080, 18412692, 18260856, 18249732, 18248328, 18253636, 18247952, 18234516,
 18243144, 18418208, 18272724, 18255788, 18250720, 18262196, 18250464, 18229948,
 18235784, 18440232, 18275976, 18261700, 18257492, 18258232, 18253348, 18241808,
 18242724, 18440056, 18273000, 18258964, 18254560, 18263188, 18256884, 18241540,
