Run Type,AMR Levels,Cores,Measure Index,Memory Used (KB)
pipe_contour_memory,3,16,77,5674900
pipe_contour_memory,3,16,78,5680892
pipe_contour_memory,3,16,79,5683248
pipe_contour_memory,3,16,80,5683772
pipe_contour_memory,3,16,81,5686432
pipe_contour_memory,3,16,82,5689672
pipe_contour_memory,3,16,83,5693516
pipe_contour_memory,3,16,84,5701692
pipe_contour_memory,3,16,85,5704572
pipe_contour_memory,3,16,86,5713284
pipe_contour_memory,3,16,87,5726740
pipe_contour_memory,3,16,88,5732072
pipe_contour_memory,3,16,89,5737032
pipe_contour_memory,3,16,90,5742888
pipe_contour_memory,3,16,91,5748252
pipe_contour_memory,3,16,92,5755344
pipe_contour_memory,3,16,93,5761308
pipe_contour_memory,3,16,94,5763288
pipe_contour_memory,3,16,95,5767300
pipe_contour_memory,3,16,96,5771228
pipe_contour_memory,3,16,97,5772540
pipe_contour_memory,3,16,98,5767640
pipe_contour_memory,3,16,99,5769932
pipe_contour_memory,3,16,100,5774860
pipe_contour_memory,3,32,0,5571424
pipe_contour_memory,3,32,1,5605024
pipe_contour_memory,3,32,2,5626936
pipe_contour_memory,3,32,3,5635552
pipe_contour_memory,3,32,4,5643780
pipe_contour_memory,3,32,5,5650364
pipe_contour_memory,3,32,6,5654584
pipe_contour_memory,3,32,7,5655896
pipe_contour_memory,3,32,8,5657488
pipe_contour_memory,3,32,9,5658708
pipe_contour_memory,3,32,10,5659224
pipe_contour_memory,3,32,11,5662200
pipe_contour_memory,3,32,12,5662788
pipe_contour_memory,3,32,13,5664276
pipe_contour_memory,3,32,14,5664144
pipe_contour_memory,3,32,15,5664636
pipe_contour_memory,3,32,16,5665048
pipe_contour_memory,3,32,17,5665916
pipe_contour_memory,3,32,18,5666164
pipe_contour_memory,3,32,19,5666164
pipe_contour_memory,3,32,20,5673188
pipe_contour_memory,3,32,21,5674428
pipe_contour_memory,3,32,22,5678332
pipe_contour_memory,3,32,23,5679692
pipe_contour_memory,3,32,24,5679196
pipe_contour_memory,3,32,25,5681304
pipe_contour_memory,3,32,26,5682792
pipe_contour_memory,3,32,27,5682420
pipe_contour_memory,3,32,28,5683908
pipe_contour_memory,3,32,29,5684396
pipe_contour_memory,3,32,30,5685512
pipe_contour_memory,3,32,31,5684644
pipe_contour_memory,3,32,32,5684768
pipe_contour_memory,3,32,33,5686876
pipe_contour_memory,3,32,34,5686008
pipe_contour_memory,3,32,35,5686612
pipe_contour_memory,3,32,36,5687232
pipe_contour_memory,3,32,37,5687000
pipe_contour_memory,3,32,38,5686504
pipe_contour_memory,3,32,39,5686876
pipe_contour_memory,3,32,40,5687144
pipe_contour_memory,3,32,41,5687140
pipe_contour_memory,3,32,42,5688256
pipe_contour_memory,3,32,43,5690628
pipe_contour_memory,3,32,44,5691372
pipe_contour_memory,3,32,45,5692324
pipe_contour_memory,3,32,46,5693556
pipe_contour_memory,3,32,47,5694300
pipe_contour_memory,3,32,48,5695692
pipe_contour_memory,3,32,49,5706868
pipe_contour_memory,3,32,50,5707908
pipe_contour_memory,3,32,51,5708888
pipe_contour_memory,3,32,52,5716824
pipe_contour_memory,3,32,53,5717380
pipe_contour_memory,3,32,54,5718496
pipe_contour_memory,3,32,55,5718176
pipe_contour_memory,3,32,56,5720036
pipe_contour_memory,3,32,57,5719964
pipe_contour_memory,3,32,58,5719840
pipe_contour_memory,3,32,59,5722884
pipe_contour_memory,3,32,60,5725208
pipe_contour_memory,3,32,61,5726300
pipe_contour_memory,3,32,62,5730020
pipe_contour_memory,3,32,63,5733432
pipe_contour_memory,3,32,64,5736792
pipe_contour_memory,3,32,65,5739932
pipe_contour_memory,3,32,66,5742532
pipe_contour_memory,3,32,67,5744500
pipe_contour_memory,3,32,68,5745556
pipe_contour_memory,3,32,69,5746052
pipe_contour_memory,3,32,70,5751204
pipe_contour_memory,3,32,71,5751204
pipe_contour_memory,3,32,72,5755160
pipe_contour_memory,3,32,73,5755316
pipe_contour_memory,3,32,74,5756308
pipe_contour_memory,3,32,75,5756008
pipe_contour_memory,3,32,76,5758112
pipe_contour_memory,3,32,77,5757736
pipe_contour_memory,3,32,78,5759844
pipe_contour_memory,3,32,79,5760992
pipe_contour_memory,3,32,80,5765100
pipe_contour_memory,3,32,81,5767948
pipe_contour_memory,3,32,82,5771188
pipe_contour_memory,3,32,83,5772336
pipe_contour_memory,3,32,84,5777824
pipe_contour_memory,3,32,85,5782288
pipe_contour_memory,3,32,86,5783512
pipe_contour_memory,3,32,87,5782396
pipe_contour_memory,3,32,88,5791940
pipe_contour_memory,3,32,89,5791440
pipe_contour_memory,3,32,90,5793440
pipe_contour_memory,3,32,91,5796416
pipe_contour_memory,3,32,92,5803996
