%  ./pipe-6-08192   ./pipe-6-08192/extracted_timings-e747447.csv 
%
% Summary Statistics:
% operation,  mean,  min,  max, std
% -------------------------------------------------------------------
% CTH_TIMINGS       ,  13.10007992 ,  12.20974 ,  17.028343 ,  0.894837333384525 
% PVSPY_VIZ_TIMINGS ,  10.49802586 ,  7.063332 ,  12.308651 ,  1.19216781407495 
% -------------------------------------------------------------------
"cycle","cth","viz"
10,13.053041,10.821006
20,12.712124,11.892517
30,12.630915,11.824686
40,12.541499,11.819771
50,12.632593,12.308651
60,13.362163,10.918456
70,12.536268,11.600205
80,12.497005,11.644281
90,12.603502,11.6159
100,12.483782,11.648323
110,12.465171,11.583732
120,12.593301,11.616247
130,12.923995,11.117887
140,13.455858,10.618788
150,12.518164,10.94542
160,13.087669,10.522405
170,12.258006,11.07996
180,12.30915,11.196254
190,13.662038,9.874823
200,12.20974,11.250362
210,12.399567,10.997819
220,13.129271,10.28695
230,12.309779,11.023802
240,12.774739,10.679861
250,12.51763,10.71373
260,12.57186,11.168338
270,12.659734,10.618623
280,12.629856,10.943021
290,12.947776,10.456431
300,12.939309,10.381202
310,12.922224,10.369644
320,13.509134,9.85774
330,12.95198,10.301382
340,12.745813,11.009155
350,13.395303,9.727276
360,13.027485,10.438481
370,12.827778,10.471615
380,13.250102,10.317907
390,13.33173,9.984441
400,13.082528,10.204429
410,13.437178,9.806352
420,13.102212,10.540805
430,12.839991,10.381962
440,13.289374,10.427288
450,13.551182,9.698819
460,13.767321,9.768268
470,14.77334,7.134204
480,16.081422,7.063332
490,17.028343,7.066145
500,14.674051,7.162597
