%  ./pipe-5-01024   ./pipe-5-01024/extracted_timings-e670581.csv 
%
% Summary Statistics:
% operation,  mean,  min,  max, std
% -------------------------------------------------------------------
% CTH_TIMINGS       ,  13.22532886 ,  11.700997 ,  14.270468 ,  0.860553854287968 
% PVSPY_VIZ_TIMINGS ,  1.02399628 ,  0.934843 ,  2.270248 ,  0.200124426018582 
% -------------------------------------------------------------------
"cycle","cth","viz"
10,12.016729,1.142614
20,11.776877,1.12038
30,11.854292,1.068291
40,11.700997,1.101593
50,12.852719,2.270248
60,12.618866,0.984857
70,12.657263,0.965097
80,12.115129,1.088152
90,11.913187,0.981919
100,11.969797,0.964677
110,12.174543,0.961034
120,11.999136,0.986843
130,11.936008,0.968442
140,11.954283,0.960853
150,12.157423,0.980903
160,12.348585,0.984747
170,14.256963,1.064604
180,12.953418,0.964611
190,12.616663,0.957821
200,12.876856,0.95584
210,13.147768,0.961259
220,13.644118,0.966809
230,13.0604,0.940286
240,13.2114,0.973944
250,13.329238,0.978888
260,13.55675,0.938008
270,13.983873,0.966364
280,13.479817,0.97818
290,13.575208,0.952103
300,14.128153,0.979081
310,13.801684,1.017827
320,14.036292,1.067179
330,14.221057,0.981197
340,14.037644,1.029267
350,13.83877,0.993264
360,14.252394,0.989559
370,14.05711,0.955759
380,13.765566,0.96506
390,13.738859,0.934843
400,13.749056,0.955659
410,13.791222,0.959447
420,14.012538,0.986465
430,13.744667,0.942351
440,14.076424,0.968434
450,13.82197,0.953237
460,13.697264,0.960643
470,14.1528,1.508174
480,14.270468,1.008899
490,14.16525,0.966208
500,14.168949,0.947894
