%  ./pipe-5-01024   ./pipe-5-01024/extracted_timings-e670580.csv 
%
% Summary Statistics:
% operation,  mean,  min,  max, std
% -------------------------------------------------------------------
% CTH_TIMINGS       ,  13.21026518 ,  11.799267 ,  14.771125 ,  0.922640192634463 
% PVSPY_VIZ_TIMINGS ,  0.9900598 ,  0.91614 ,  1.867335 ,  0.136166118287441 
% -------------------------------------------------------------------
"cycle","cth","viz"
10,12.034795,1.129629
20,11.849895,1.116015
30,11.871107,1.060565
40,11.799267,1.086028
50,11.9044,1.083403
60,12.523311,0.980771
70,12.581705,0.962406
80,12.09184,1.071798
90,11.822919,0.957645
100,11.947483,0.950409
110,11.897154,1.006794
120,12.070136,0.973861
130,11.906542,0.967902
140,12.010054,0.961709
150,12.143552,0.94703
160,12.40312,0.945816
170,12.442433,1.867335
180,12.676998,0.959574
190,12.725222,0.95336
200,12.946285,0.940095
210,13.184518,0.918994
220,13.225816,0.983978
230,13.2377,0.923616
240,13.281348,0.927719
250,13.360918,0.91614
260,13.662462,0.972848
270,14.000583,0.933704
280,14.490908,0.938146
290,13.699569,0.93717
300,14.158832,0.946058
310,13.794524,0.969501
320,14.018752,0.990976
330,14.294756,0.978052
340,14.058101,0.998194
350,13.944143,1.017167
360,14.355367,0.979474
370,14.125955,0.950688
380,13.864169,0.935302
390,13.715381,0.947576
400,13.817635,0.947012
410,13.796911,0.931323
420,13.959087,0.938958
430,13.855993,0.938252
440,14.138696,0.944982
450,13.894704,0.93553
460,13.766188,0.962096
470,14.029669,0.958479
480,14.771125,0.940999
490,14.195164,0.939174
500,14.166067,0.978737
