>>>>  amr_in-situ-unopt/pipe-5-00128/extracted_timings-e635311.csv 
%  ./pipe-5-00128   ./pipe-5-00128/extracted_timings-e635311.csv 
%
% Summary Statistics:
% operation,  mean,  min,  max, std
% -------------------------------------------------------------------
% CTH_TIMINGS       ,  75.4958754 ,  71.213649 ,  81.523772 ,  3.0196803081574 
% PVSPY_VIZ_TIMINGS ,  3.47765242 ,  3.288374 ,  4.5546 ,  0.192528421473361 
% -------------------------------------------------------------------
"cycle","cth","viz"
320,13.998771,1.573544
330,14.181381,1.535129
340,14.102682,1.510343
350,13.878203,1.584943
360,14.229238,1.534874
370,13.916013,1.5341
380,13.652921,1.533767
390,13.520551,1.536849
400,13.630293,1.609362
410,13.715887,1.527363
420,13.780533,1.535318
430,13.635522,1.522416
440,13.982217,1.502569
450,13.726803,1.560754
460,13.571013,1.516604
470,13.851454,1.639305
480,14.437329,1.536452
490,14.055288,2.548644
500,14.656886,1.536181
<<<< 
>>>>  amr_in-situ-unopt/pipe-6-01024/extracted_timings-e630845.csv 
%  ./pipe-6-01024   ./pipe-6-01024/extracted_timings-e630845.csv 
%
% Summary Statistics:
% operation,  mean,  min,  max, std
% -------------------------------------------------------------------
% CTH_TIMINGS       ,  68.689053 ,  66.043874 ,  81.45469 ,  3.3550750897857 
% PVSPY_VIZ_TIMINGS ,  9.74998874 ,  8.745124 ,  10.604455 ,  0.289906234637593 
% -------------------------------------------------------------------
"cycle","cth","viz"
10,66.177108,9.798009
20,66.264096,9.799338
30,66.258009,9.78529
40,66.043874,9.820908
50,66.130082,9.837526
60,66.313714,9.875577
70,66.170249,9.952924
80,66.229942,9.825131
90,66.252248,9.78817
100,66.272087,9.863766
110,66.101541,10.069339
120,66.340424,9.744127
130,66.51877,10.135651
140,68.914741,9.673223
150,66.846218,9.568339
160,66.500806,9.625833
170,66.424903,9.551041
180,66.563681,9.675273
190,66.439782,9.759182
200,66.48926,9.575978
210,66.581619,9.532114
220,66.378631,9.660747
230,66.573145,9.645269
240,67.501797,9.576148
250,67.591685,9.704756
260,67.725134,9.492525
270,67.496203,10.425131
280,67.622026,9.514715
290,68.282164,9.578433
300,68.29148,9.580921
310,68.760372,9.624654
320,68.765394,9.625491
330,69.440588,9.734172
340,68.349774,9.635211
350,69.068435,9.688723
360,69.20987,9.565263
370,68.723588,9.520697
380,69.532649,9.546239
390,70.075936,9.63454
400,69.429903,9.627692
410,70.569054,10.187041
420,71.723744,9.507048
430,69.495796,9.589436
440,70.976631,10.075684
450,71.999694,9.703609
460,72.087241,8.745124
470,76.594213,10.604455
480,81.45469,10.089013
490,77.034229,9.962825
500,77.86543,10.397136
<<<< 
>>>>  amr_in-situ-unopt/pipe-6-02048/extracted_timings-e630846.csv 
%  ./pipe-6-02048   ./pipe-6-02048/extracted_timings-e630846.csv 
%
% Summary Statistics:
% operation,  mean,  min,  max, std
% -------------------------------------------------------------------
% CTH_TIMINGS       ,  38.00536926 ,  35.84692 ,  48.659889 ,  2.70588223638977 
% PVSPY_VIZ_TIMINGS ,  8.87815774 ,  7.840212 ,  10.171345 ,  0.291975951862115 
% -------------------------------------------------------------------
"cycle","cth","viz"
10,35.857761,9.042932
20,35.84692,8.855057
30,36.129247,9.021759
40,35.987909,8.889392
50,36.101855,9.012493
60,36.205852,8.898748
70,36.214844,9.077389
80,36.159857,9.057841
90,36.353831,8.896108
100,36.283273,8.945097
110,36.223406,9.00977
120,36.364429,9.007358
130,36.285397,9.116913
140,37.844879,8.62751
150,36.296257,9.113065
160,35.855629,8.613027
170,35.937111,9.003297
180,36.000991,8.7168
190,35.873072,8.974414
200,35.934809,8.918729
210,36.0505,8.627904
220,36.052407,8.807659
230,36.225827,8.811398
240,36.968478,8.627064
250,36.985745,8.885043
260,37.117022,8.644247
270,37.078058,8.633642
280,37.147738,8.827618
290,37.587152,8.801658
300,38.116118,8.793843
310,38.046537,8.830793
320,37.986293,8.579797
330,38.785612,8.88599
340,38.636893,8.950903
350,38.998904,8.807872
360,39.001098,8.718497
370,38.878588,8.771442
380,39.339627,8.667958
390,39.597822,8.909107
400,39.145304,8.679597
410,39.692641,8.930265
420,39.188864,8.838311
430,38.797923,8.739122
440,39.414772,8.662064
450,39.371246,8.98401
460,39.454025,7.840212
470,43.018964,9.311949
480,48.659889,9.236669
490,45.477153,10.171345
500,45.689934,9.134209
<<<< 
>>>>  amr_in-situ-unopt/pipe-6-04096/extracted_timings-e630847.csv 
%  ./pipe-6-04096   ./pipe-6-04096/extracted_timings-e630847.csv 
%
% Summary Statistics:
% operation,  mean,  min,  max, std
% -------------------------------------------------------------------
% CTH_TIMINGS       ,  22.19277476 ,  20.389768 ,  24.844556 ,  0.820169515006317 
% PVSPY_VIZ_TIMINGS ,  8.79447372 ,  7.256691 ,  9.437253 ,  0.538382956004065 
% -------------------------------------------------------------------
"cycle","cth","viz"
10,21.343327,8.751541
20,21.801821,8.881757
30,22.532359,8.808208
40,21.681527,9.222575
50,21.436526,8.947185
60,21.904621,8.759713
70,21.903725,8.924318
80,22.011775,9.402964
90,21.919801,9.112014
100,22.508681,8.920949
110,22.178956,8.658887
120,23.284993,9.306095
130,22.633109,9.365067
140,22.104786,9.275931
150,24.051708,9.277698
160,21.78851,8.608735
170,22.096464,8.661702
180,21.569156,8.658597
190,22.211474,8.614134
200,22.322096,9.353558
210,20.389768,8.614847
220,23.087982,8.610662
230,22.285316,8.7988
240,22.319545,8.696869
250,21.55573,8.410869
260,21.160361,9.005943
270,21.490665,8.596565
280,21.164443,8.664092
290,21.419939,8.652252
300,21.587474,8.783839
310,22.094529,8.822467
320,22.093598,9.292578
330,21.787567,9.035864
340,21.529453,9.224655
350,21.688054,8.925582
360,21.969241,9.437253
370,22.147228,9.038835
380,21.9671,9.385853
390,22.407734,9.246712
400,21.94184,9.27964
410,24.844556,8.931891
420,23.813392,8.735302
430,23.180341,9.280768
440,24.112637,8.685952
450,22.485153,8.968143
460,22.113654,7.256691
470,23.325661,7.529353
480,22.693286,7.608068
490,21.842762,7.410262
500,21.854314,7.281451
<<<< 
>>>>  amr_in-situ-unopt/pipe-6-08192/extracted_timings-e630848.csv 
%  ./pipe-6-08192   ./pipe-6-08192/extracted_timings-e630848.csv 
%
% Summary Statistics:
% operation,  mean,  min,  max, std
% -------------------------------------------------------------------
% CTH_TIMINGS       ,  12.6665105 ,  11.737466 ,  17.818506 ,  1.43249388415218 
